,placename,placeaddress,placephone,placeinfo,placeintro,openhour,placeimg
38,미인필라테스,서울 마포구 월드컵로 31 오벨리움 빌딩,0507-1444-8256,"주차, 방문접수/출장, 예약, 무선 인터넷, 남/녀 화장실 구분, 국민지원금",,"매일 08:00 - 22:00 일요일, 공휴일 휴무","""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191021_30%2F1571637547287CePkw_JPEG%2Fae8ncA2dvNffg6KAhWnL-Uon.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191021_71%2F1571637424711ndUQ7_GIF%2Fi0OSM0P7NMj_zZhJ_bAEfjtw.g"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191021_92%2F1571649090976E5bsn_JPEG%2FRgc0jW757cD9fj1lMXs7bPY8.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191021_68%2F1571649098614vXXm8_JPEG%2FKWtWwgadf0aU3ZL00atBCyts.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191021_219%2F15716490834260eEzd_JPEG%2FWIQYHLCmhDs6tIDoMs5gPWCc.jpg"""
39,에스바디워크필라테스 신촌점,서울 마포구 신촌로 82 2층,02-336-9609,"무선 인터넷, 남/녀 화장실 구분, 지역화폐(카드형), 국민지원금",,일요일 휴무,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200525_129%2F1590388834975JOFqk_PNG%2F3gvPR9M2PWEH_4LStPgN5DLO.png"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200519_12%2F1589881309585cO5Dy_JPEG%2F%25B1%25E4%25B1%25DE%25C0%25E7%25B3%25AD%25C1%25F6%25BF%25F8%25B1%25DD_%25BB%25E7%25BF%25EB."", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200519_12%2F15898812179501DHA0_JPEG%2F%25BB%25E7%25C8%25B8%25C0%25FB%25B0%25C5%25B8%25AE%25B5%25CE%25B1%25E2.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200519_43%2F1589881217946HIt6i_JPEG%2F%25C1%25A7%25BD%25C3%25B9%25CD%25BD%25BA_%25B0%25F8%25B5%25BF%25B1%25B8%25B8%25C5."""
40,끌로에필라테스 상수점,서울 마포구 독막로 91 동호빌딩 2층 3층,0507-1364-3828,"단체석, 주차, 무선 인터넷, 남/녀 화장실 구분, 제로페이","Chloe Pilates,안녕하세요 끌로에 필라테스 상수 지점 입니다.저희 끌로에 필라테스는 체형교정을 전문적으로 진행하고 있으며,기존 필라테스샵과는 다르게 오랜경력과 경험사례가 풍부하신 강사님들과 가족처럼 함께하고 있습니다.체계적인 관리시스템과 개인 맞춤형 운동 커리큘럼으로 모든 회원님들의체형상태, 운동목적에 맞추어 정확하게 케어 해드리고 있습니다.Chloe Program저희 끌로에 필라테스는,프라이빗한 개인레슨, 듀엣레슨1:8 그룹레슨 프로그램을 진행중 입니다.개인 레슨과 듀엣레슨은* 재활, 체형교정을 수업하는 교정 전문 프로그램과* 근력 강화 운동을 위한, 웨이트 필라테스* 체중 감량 운동에 중점을 두고 있는 다이어트 필라테스를전문 운영중입니다.시설내 문의사항 또는 이벤트 안내는카카오톡 문의 또는 전화 주시면 친절히 안내 도와드리겠습니다.감사합니다.",평일 08:00 - 23:00,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210223_179%2F1614054045977VhX5N_JPEG%2FVRQ58TJ_dcOEqXZVUqd37Po7.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210405_167%2F16175817543365fVh7_JPEG%2FclGYzCspLxI7yGnFASxWWvMs.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210404_82%2F1617520021794xwuxL_JPEG%2FTZp4isAA_CE-oQged4G-AgpE.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210223_45%2F1614054205818kgSpy_JPEG%2F6xHdgKo_nyd5Q-Fh9eo7InDi.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210404_294%2F1617520021532de4GY_JPEG%2F5xprTdVSmAGvp5cUga5XnxTL.jpg"""
41,에스바디워크필라테스 마포점,서울 마포구 마포대로 68 마포 아크로타워 지하1층,0507-1309-9609,"주차, 예약, 남/녀 화장실 구분, 국민지원금",,일요일 휴무,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200525_172%2F1590389990287BgUIK_PNG%2FtOtdFbx4YN6ws7T6XfR_3b6Q.png"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200525_66%2F1590389985303B59px_PNG%2FQCKcUfGAW5fYggCqdohAiixH.png"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180315_130%2F1521092352623EQ0fI_JPEG%2FsxFw2XFJcylJCzPvFiIxYqtD.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180315_42%2F15210923526684rxXX_JPEG%2FKwoNH3tSg4wUm7tOs7KPbdE3.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180315_248%2F1521092352623VIfBT_JPEG%2F2noAfukq4838-BFEd694kQQ1.jpg"""
42,W필라테스스튜디오,서울 마포구 월드컵북로54길 17 사보이시티DMC B1,0507-1305-5628,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분, 지역화폐(모바일형), 제로페이, 국민지원금",,공휴일 휴무,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210617_32%2F1623914507206xnXtJ_JPEG%2FzJuEv3o7_jDdl8otUWFJ78a4.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210319_160%2F1616146721699n6hSv_JPEG%2FFjHde0xF1kmNc7RdwkmEeWZ8.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210319_9%2F1616151107533FyreI_JPEG%2FdW4MELkaxcjhbzsk5AGGmDNe.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200923_81%2F1600854340257aoKNM_JPEG%2FEGBIBDET_sH-w4NOFJ-ggdnd.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200923_252%2F1600834486917qQbJI_JPEG%2FF6esH5wHnWK5opIPa0nIqxru.jpg"""
43,타임투필라테스 서강점,"서울 마포구 창전로 35 서하빌딩 4F, 5F",02-322-5902,"단체석, 주차, 예약, 무선 인터넷, 남/녀 화장실 구분","First pilates, time to PILATES@업계최초 필라테스 운동법 특허 보유@업계최초 베이비케어 서비스 실시Professional pilates, time to PILATES@정형외과, 산부인과 병원출강@필라테스 강사 교육기관VVIP pilates, time to PILATES@수입기구 도입@전문체형측정장비, 음파운동장비 도입안녕하세요타임투 필라테스 서강점 입니다.수준 높은 필라테스를 위한 가장 합리적인 선택,타임투 필라테스가 함께하겠습니다.6호선 광흥창역 도보 2분",매일 07:00 - 11:00 일요일및 법정 공휴일 휴무,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160304_60%2F1457089235052Oo9G9_JPEG%2F176254603053983_0.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180913_44%2F1536804960989qBmge_JPEG%2FUL67Fy96-QHsx_cyWPhlY4i4.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190430_289%2F15566241292094aFEz_JPEG%2F%25C5%25A9%25B1%25E2%25BA%25AF%25C8%25AF_2_MG_8520."", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190430_267%2F1556624129246vphGA_JPEG%2F%25C5%25A9%25B1%25E2%25BA%25AF%25C8%25AF_2_MG_8529."", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190430_284%2F15566241292256rqjY_JPEG%2F%25C5%25A9%25B1%25E2%25BA%25AF%25C8%25AF_2_MG_8544."""
44,필라마인드 마포공덕점,서울 마포구 도화길 32 지하1층 101호,0507-1432-9682,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분, 제로페이, 국민지원금",,일요일 휴무,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210312_201%2F1615514901372RTlji_JPEG%2FtXwRJOlrs5oFWcPQ2VQV5ti4.JPG.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210312_289%2F1615514900174SvNpx_JPEG%2FQ1XkoHWOsgiit6hebTEX0_gJ.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210315_118%2F1615795775864cNBGf_JPEG%2FNIQlOeVGF-Gen8M--DlyPQyW.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210315_56%2F1615795775632BCgD1_JPEG%2FeQCUk0RNLkIFACi3o4ZnY02j.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210312_180%2F16155149002697zqqL_JPEG%2Fpx-2rVIhLGup7Nn3jZ3lKfDX.jpg"""
45,아펠운동센터,서울 마포구 백범로1길 21 5층,0507-1405-3103,"주차, 예약, 무선 인터넷",,평일 09:00 - 20:00,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210420_39%2F1618898550072cv5gM_JPEG%2F9E30EBF1-D203-4335-8AC7-14981CFBF2B0.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210420_204%2F161889855010204d3y_JPEG%2F0731B752-4F62-4C52-9C0B-CB7715EABFF5.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210420_278%2F1618898550073JugOC_JPEG%2F24F94F7F-D56D-40AA-B593-FB98E381138C.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210420_134%2F1618898550216cnafn_JPEG%2F30AEB024-1392-4AC0-A547-2A806524F0E0.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210420_188%2F16188985501161Qmwr_JPEG%2F692D31C6-D0F7-477B-98CB-3D2F3BFE762E.jpeg"""
46,포커스 온 바디 스튜디오,서울 마포구 방울내로 26 2층,010-8284-2071,"방문접수/출장, 예약, 무선 인터넷, 반려동물 동반, 국민지원금",,일요일 휴무,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200724_123%2F1595589299409MnlYJ_JPEG%2FFWhuUJcFGgVf1e1_pT-nmwJD.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200724_36%2F1595589351675gEUJL_JPEG%2FUfNU66Y0Lx5-jVlb3qi4HzrS.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200724_138%2F1595589362721pNBny_JPEG%2F8JMtQO3nxQ42hdArQEYI_2Yl.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200724_164%2F1595589370894R7mc2_JPEG%2FPh2Vb_7h18HY8CjzEvpuVuJ1.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200724_241%2F15955893798959XNP6_JPEG%2FrkmMP6V-BApkQp0FLxqeU523.jpg"""
47,퍼스트 필라테스학원,서울 마포구 신촌로4길 11 3층,0507-1374-5394,"단체석, 주차, 방문접수/출장, 예약, 무선 인터넷","[퍼스트 필라테스&PT 과정] One Day Class : 39,000원. One Day Group Class : 29,000원. 아카데미 PT : 상담 후 안내 방문 PT : 상담 후 안내체형교정, 통증/재활, 근력 향상, 다이어트 등 모든 목적으로 다양하게 운동할 수 있습니다!필라테스, 교정/재활 각 분야의 오랜 경력과 검증된 전문 강사님들과 함께하고 있으며, 1:1개인 레슨 같은 경우 원하시는 목적에 맞게 강사님 배정을 도와드리고 있습니다^^- 신규 Open 이벤트&최신 시설- 운동과 자격을 동시에 취득~!- 10년 이상 경력의 베타랑 전임강사 제도- 공신력 있는 필라테스 협회 인증 지도자 강사 자격 과정 운영- 필라테스 협회 강사 자격 등록까지- 취업 연계 및 창업지원 교육[퍼스트 정규 교육과정] 필라테스 강사 양성 소도구&매트 필라테스 Lv 1~3 재활 필라테스 Lv 1~3 퍼스널트레이닝(PT)[마스터 과정] 레더바렐/리포머/캐딜락/스프링보드/체어 필라테스 국제 디플로마[창업] 필라테스 창업 교육언제든 편하게 문의 주세요.무료상담 가능합니다^^",매일 00:00 - 24:00,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210812_164%2F1628744122546rtpPq_JPEG%2FU2mmnIwXuNr-S38AmTaJ7xjd.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210812_230%2F1628744180265Dg4ID_JPEG%2FvKafAMz0riHcWh7K1aSEHy31.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210812_285%2F1628744154497ztEw2_JPEG%2FX6TAgfX22h4RIoN7mKJQ3FQw.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210812_231%2F1628744215822sI1Ig_JPEG%2FWB6QOlNzoo7JgTTsSOhxtOVU.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210812_38%2F1628744151396LuAKS_JPEG%2FRFaTeCtpdoSauBQTRejUj1hM.jpg"""
48,바디컨설팅 망원점,서울 마포구 월드컵로13길 70 3층,0507-1376-1340,예약,"[내 몸에 딱 맞는 건강관리, 바디컨설팅]고객님의 몸 상태를 기반으로 한맞춤형 건강 관리 프로그램을 진행하여체형 불균형 및 근육 문제를 파악한 뒤스트레칭, 강화운동,다이어트/체력증가/체형개선 등고객님의 운동 목적에 맞는1:1 PT, 필라테스 프로그램을 통해확실한 효과를 경험하실 수 있습니다.상담 및 수업은모두 예약제로 진행되오니반드시 아래 링크를 클릭하여예약 후 방문 부탁드립니다! ^^http://pf.kakao.com/_lgSCK/chat",,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210915_259%2F1631700108214KAmnL_PNG%2F_-sj2G2QZBTRwHIFlDAQtgQM.png"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210915_69%2F1631700107539vAxxj_PNG%2FqGCZBCxt6W8BAj5QS1XUujFz.png"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210915_152%2F1631700108144TYaGz_PNG%2F0cvq_4UWvhfFBfN8_X5X_Ai0.png"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210915_107%2F16317001079848N8ut_PNG%2FTRzCDmhFNbcANBNUz9HJItzQ.png"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210915_141%2F1631700107858kkxPV_PNG%2FkxyKZtlzR4Ipizr0oeY1iMlK.png"""
49,필라테스원,서울 마포구 대흥로24길 24 마포프레스티지자이 상가 A동 B1층 301호,0507-1353-5743,"주차, 무선 인터넷, 남/녀 화장실 구분, 국민지원금",,일요일 휴무,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210516_300%2F1621171381475ztrlG_JPEG%2F0uBeL_ybaJmVz2x9EMjlsuun.jpeg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210516_74%2F16211714112386u9xY_JPEG%2FlkYJXuSuShBzarfPz91H0Lqf.jpeg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210516_176%2F1621171431173IJait_JPEG%2FxeJKkFfGXX_y0LKHn4gl1dct.jpeg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210516_150%2F1621171458336ebpsK_JPEG%2FFfaeOjSQ_KsuzzATYrJ1j7xW.jpeg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210516_223%2F162117148863204Et5_JPEG%2FS7sPoiqccG_GEDROcsy-Jpm3.jpeg.jpg"""
50,인필라테스,서울 마포구 양화로 68,0507-1444-3738,"주차, 예약, 무선 인터넷, 국민지원금","인필라테스는 여러가지의 수정자세와 운동법을 통해다양한 연령과 회원님 개개인의 컨디션에 부합되는 ‘컨템포러리 필라테스’ 프로그램과조셉 필라테스가 만든 원형 그대로의 ‘클래식 필라테스’ 모두 경험 할 수 있는필라테스 전문 스튜디오 입니다.저희 IN PILATES 가 가장 자부하는 것은 강사의 전문성입니다. 전문성은 전문 분야의 검증된 자격은 물론, 다양한 관련 지식과 오래된경험을 통해 나옵니다.IN PILATES 는 The Peak Pilates Comprehensive Level III , 국제강사Master Trainer 자격을 갖춘 Senior Instructor와 세계에서 인정받는Balanced Body 와 PEAK Pilates의 공식 Instructor certificate를 취득한 유능한 강사진들로만 구성되어 있습니다또한 IN PILATES 는 “클래식 필라테스의 모든 기구와 액세서리를1929년 제작을 시작한 그라츠 (Gratz)사의 기구를 보유” 하고 있습니다. 이는 필라테스 세션에 훌륭한 컨디션을 선사할 것입니다.",매일 09:00 - 22:00,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180309_167%2F1520523271592sB9bo_PNG%2Fvxn1RYbg6YOovgQ1cqniIPUj.png"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200210_170%2F1581321814246y0gUN_JPEG%2FoILtuFo6HnX4CaHosScKFFeY.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200210_277%2F1581321908146zg4iu_JPEG%2Fq7RDpMd2vrgz6EOHqlXr_nc7.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200210_122%2F1581321908166e7uNd_JPEG%2FxJ25PEuxeWuSif2YykcbBERr.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200525_46%2F1590389558508NIiHK_JPEG%2F6m2IkHLG5Ar2jINmfio0wWRJ.jpg"""
51,바디마인드필라테스,서울 마포구 월드컵로 204 이안상암 2층,02-568-3500,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분, 국민지원금",BODYMIND WELLNESS STUDIOPilates Gyritonic Balletfit기구필라테스 전문 스튜디오입니다.필라테스 4:1 / 2:1 / 1:1 자이로토닉 1:1발레핏 4:1체형교정다이어트근력﻿·유연성강화산전산후통증완화재활운동인지능력향상키즈키성장발달노인건강관리,매일 00:00 - 24:00,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210816_222%2F1629100495476PQoBQ_JPEG%2FxBQ2HLKfkF_0EWVxomkClqBG.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210816_299%2F1629100503455FL6qU_JPEG%2F-FCFiryHaDkxCiLUQPT7qimU.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191204_163%2F1575437147037oQqTn_JPEG%2FJUQOK-EDVfBn_if4QDe3f2gr.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210816_276%2F1629100520805EaEKH_JPEG%2FCzy39MI3oj8072b3Mt744mPZ.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210816_165%2F1629100536315IeFiM_JPEG%2FmHqZLauPpKHxEQSHPwywX6ji.jpg"""
52,프라우드바디 필라테스 & 자이로토닉 광흥창점,서울 마포구 서강로 69 3층,02-703-0405,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분, 지역화폐(지류형), 지역화폐(카드형), 지역화폐(모바일형), 제로페이, 국민지원금",,평일 07:00 - 23:00 공휴일 휴무,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201013_51%2F16025597814860LiUk_JPEG%2F-PqmeumxN9l6gZQW3TT9q7v5.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201013_65%2F1602559841798UueX2_JPEG%2FpTzw3vE-6O-87e3Rtj1S0aEx.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201013_89%2F1602559781489X0YfR_JPEG%2FGPLNljBDLh_JoVomm7u0V3Ly.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191205_291%2F1575516479339oH6XO_JPEG%2FGGEZ03HxQfSC1L6m3BGS496G.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190519_191%2F1558270256707JfVwf_JPEG%2FNvQ2l1Y3sXC2q0voD8JlxFXI.jpg"""
53,클라필라테스 홍대점,서울 마포구 성미산로 78 2층,010-6814-2182,"주차, 예약, 반려동물 동반, 제로페이, 국민지원금",클라필라테스는 기구 필라테스 전문 스튜디오 입니다.1:1 개인레슨1:2 듀엣레슨키즈그룹레슨회원님의 체형과 운동목적에 맞게 전문적이고 세분화된 프로그램을 제공해드립니다:)다이어트/체형교정/재활통증/키즈성장/산전산후/맨즈필라테스,매일 00:00 - 24:00,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210827_59%2F1630045517222IPfTW_JPEG%2FMywYi3n_qQxIQRjrNar2qf_R.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210810_227%2F1628593661161v9oHl_JPEG%2FKakaoTalk_20210810_171026256_04.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210810_36%2F1628593661164fBgDw_JPEG%2FKakaoTalk_20210810_171026256.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210810_12%2F1628593661056Gn2bb_JPEG%2FKakaoTalk_20210810_171026256_01.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210810_98%2F1628593661075MG2Ve_JPEG%2FKakaoTalk_20210810_171026256_02.jpg"""
